NO,식품명,식품대분류,식품상세분류
10807,카페라떼(HOT) R,음료 및 차류,커피류
10808,카페라떼(HOT) L,음료 및 차류,커피류
10809,카페라떼(HOT) V,음료 및 차류,커피류
10810,카페라떼(ICED) R,음료 및 차류,커피류
10811,카페라떼(ICED) L,음료 및 차류,커피류
10812,카페라떼(ICED) V,음료 및 차류,커피류
10813,카푸치노 R,음료 및 차류,커피류
10814,카푸치노 L,음료 및 차류,커피류
10815,카푸치노 V,음료 및 차류,커피류
10816,흑당 아인슈페너 (HOT),음료 및 차류,커피류
10817,흑당 아인슈페너 (ICED),음료 및 차류,커피류
10818,흑당 아인슈페너 라떼(HOT),음료 및 차류,커피류
10819,흑당 아인슈페너 라떼(ICED),음료 및 차류,커피류
10820,콜드브루R,음료 및 차류,커피류
10821,콜드브루L,음료 및 차류,커피류
10822,콜드브루 라떼R,음료 및 차류,커피류
10823,콜드브루 라떼L,음료 및 차류,커피류
10824,콜드브루 카라멜마끼아또R,음료 및 차류,커피류
10825,콜드브루 카라멜마끼아또L,음료 및 차류,커피류
10826,콜드브루 헤이즐넛 라떼R,음료 및 차류,커피류
10827,콜드브루 헤이즐넛 라떼L,음료 및 차류,커피류
10828,콜드브루 바닐라 젤라또 라떼,음료 및 차류,커피류
10829,니트로콜드브루,음료 및 차류,커피류
10830,플랫 화이트(HOT),음료 및 차류,커피류
10831,플레어 연유 라떼(HOT),음료 및 차류,커피류
10832,플레어 연유 라떼(ICED),음료 및 차류,커피류
10833,플레어 시나몬 라떼(HOT),음료 및 차류,커피류
10834,브라운슈가 콜드브루 펄라떼(ICED),음료 및 차류,커피류
10835,카페 아메리카노 tall(hot/iced),음료 및 차류,커피류
10836,카페 아메리카노 grande(hot),음료 및 차류,커피류
10837,카페 아메리카노 grande(iced),음료 및 차류,커피류
10838,카페 아메리카노 venti(hot/iced),음료 및 차류,커피류
10839,카페라떼 tall (hot),음료 및 차류,커피류
10840,카페라떼 tall (iced),음료 및 차류,커피류
10841,카페라떼 grande (hot),음료 및 차류,커피류
10842,카페라떼 grande (iced),음료 및 차류,커피류
10843,카페라떼 venti (hot),음료 및 차류,커피류
10844,카페라떼 venti (iced),음료 및 차류,커피류
10845,캬라멜 마끼아또 tall (hot),음료 및 차류,커피류
10846,캬라멜 마끼아또 tall (iced),음료 및 차류,커피류
10847,캬라멜 마끼아또 grande (hot),음료 및 차류,커피류
10848,캬라멜 마끼아또 grande (iced),음료 및 차류,커피류
10849,캬라멜 마끼아또 venti (hot),음료 및 차류,커피류
10850,캬라멜 마끼아또 venti (iced),음료 및 차류,커피류
10851,카푸치노 tall (hot),음료 및 차류,커피류
10852,카푸치노 tall (iced),음료 및 차류,커피류
10853,카푸치노 grande (hot),음료 및 차류,커피류
10854,카푸치노 grande (iced),음료 및 차류,커피류
10855,카푸치노 venti (hot),음료 및 차류,커피류
10856,카푸치노 venti (iced),음료 및 차류,커피류
10857,바닐라 라떼 tall (hot),음료 및 차류,커피류
10858,바닐라 라떼 tall (iced),음료 및 차류,커피류
10859,바닐라 라떼 grande (hot),음료 및 차류,커피류
10860,바닐라 라떼 grande (iced),음료 및 차류,커피류
10861,바닐라 라떼 venti (hot),음료 및 차류,커피류
10862,바닐라 라떼 venti (iced),음료 및 차류,커피류
10863,헤이즐넛 라떼 tall (hot),음료 및 차류,커피류
10864,헤이즐넛 라떼 tall (iced),음료 및 차류,커피류
10865,헤이즐넛 라떼 grande (hot),음료 및 차류,커피류
10866,헤이즐넛 라떼 grande (iced),음료 및 차류,커피류
10867,헤이즐넛 라떼 venti (hot),음료 및 차류,커피류
10868,헤이즐넛 라떼 venti (iced),음료 및 차류,커피류
10869,카페모카 tall (hot),음료 및 차류,커피류
10870,카페모카 tall (iced),음료 및 차류,커피류
10871,카페모카 grande (hot),음료 및 차류,커피류
10872,카페모카 grande (iced),음료 및 차류,커피류
10873,카페모카 venti (hot),음료 및 차류,커피류
10874,카페모카 venti (iced),음료 및 차류,커피류
10875,시나몬 카페모카 tall (hot),음료 및 차류,커피류
10876,시나몬 카페모카 tall (iced),음료 및 차류,커피류
10877,시나몬 카페모카 grande (hot),음료 및 차류,커피류
10878,시나몬 카페모카 grande (iced),음료 및 차류,커피류
10879,시나몬 카페모카 venti (hot),음료 및 차류,커피류
10880,시나몬 카페모카 venti (iced),음료 및 차류,커피류
10881,그린민트 카페모카 tall (hot),음료 및 차류,커피류
10882,그린민트 카페모카 tall (iced),음료 및 차류,커피류
10883,그린민트 카페모카 grande (hot),음료 및 차류,커피류
10884,그린민트 카페모카 grande (iced),음료 및 차류,커피류
10885,그린민트 카페모카 venti (hot),음료 및 차류,커피류
10886,그린민트 카페모카 venti (iced),음료 및 차류,커피류
10887,아이스블루스노우모카 R,음료 및 차류,커피류
10888,아이스블루스노우모카 L,음료 및 차류,커피류
10889,블루스노우모카 R,음료 및 차류,커피류
10890,블루스노우모카 L,음료 및 차류,커피류
10891,넘버 원 모카 R,음료 및 차류,커피류
10892,넘버 원 모카 L,음료 및 차류,커피류
10893,시나몬 크림 모카 R,음료 및 차류,커피류
10894,시나몬 크림 모카 L,음료 및 차류,커피류
10895,화이트 모카 R,음료 및 차류,커피류
10896,화이트 모카 L,음료 및 차류,커피류
10897,아이스 아메리카노 R,음료 및 차류,커피류
10898,아이스 아메리카노 L,음료 및 차류,커피류
10899,아메리카노 R,음료 및 차류,커피류
10900,아메리카노 L,음료 및 차류,커피류
10901,카페라떼 R,음료 및 차류,커피류
10902,카페라떼 L,음료 및 차류,커피류
10903,아이스 카페라떼R,음료 및 차류,커피류
10904,아이스 카페라떼L,음료 및 차류,커피류
10905,민트모카 R,음료 및 차류,커피류
10906,민트모카 L,음료 및 차류,커피류
10907,아이스 민트모카 R,음료 및 차류,커피류
10908,아이스 민트모카 L,음료 및 차류,커피류
10909,에스프레소 토피넛라떼 R,음료 및 차류,커피류
10910,에스프레소 토피넛라떼 L,음료 및 차류,커피류
10911,아이스 에스프레소 토피넛라떼 R,음료 및 차류,커피류
10912,아이스 에스프레소 토피넛라떼 L,음료 및 차류,커피류
10913,아이스 화이트모카 R,음료 및 차류,커피류
10914,아이스 화이트모카 L,음료 및 차류,커피류
10915,아이스 넘버원모카 R,음료 및 차류,커피류
10916,아이스 넘버원모카 L,음료 및 차류,커피류
10917,아이스 카라멜모카 R,음료 및 차류,커피류
10918,아이스 카라멜모카 L,음료 및 차류,커피류
10919,아이스 카페모카 R,음료 및 차류,커피류
10920,아이스 카페모카 L,음료 및 차류,커피류
10921,아이스 연라떼 R,음료 및 차류,커피류
10922,아이스 연라떼 L,음료 및 차류,커피류
10923,아이스 카라멜 마끼아또 R,음료 및 차류,커피류
10924,아이스 카라멜 마끼아또 L,음료 및 차류,커피류
10925,아이스 바닐라라떼 R,음료 및 차류,커피류
10926,아이스 바닐라라떼 L,음료 및 차류,커피류
10927,아이스 카푸치노 R,음료 및 차류,커피류
10928,아이스 카푸치노 L,음료 및 차류,커피류
10929,아이스 카라멜 라떼 R,음료 및 차류,커피류
10930,아이스 카라멜 라떼 L,음료 및 차류,커피류
10931,에스프레소,음료 및 차류,커피류
10932,콘파냐,음료 및 차류,커피류
10933,아포가토,음료 및 차류,커피류
10934,카라멜 라떼 R,음료 및 차류,커피류
10935,카라멜 라떼 L,음료 및 차류,커피류
10936,바닐라라떼 R,음료 및 차류,커피류
10937,바닐라라떼 L,음료 및 차류,커피류
10938,연라떼 R,음료 및 차류,커피류
10939,연라떼 L,음료 및 차류,커피류
10940,카푸치노 R,음료 및 차류,커피류
10941,카푸치노 L,음료 및 차류,커피류
10942,카라멜 마끼아또 R,음료 및 차류,커피류
10943,카라멜 마끼아또 L,음료 및 차류,커피류
10944,카라멜모카 R,음료 및 차류,커피류
10945,카라멜모카 L,음료 및 차류,커피류
10946,진저라떼 R,음료 및 차류,커피류
10947,진저라떼 L,음료 및 차류,커피류
10948,리얼프리미엄 모카 R,음료 및 차류,커피류
10949,리얼프리미엄 모카 L,음료 및 차류,커피류
10950,리얼프리미엄 바닐라 R,음료 및 차류,커피류
10951,리얼프리미엄 바닐라 L,음료 및 차류,커피류
10952,아이스 흑당 카페라떼,음료 및 차류,커피류
10953,흑당 카페라떼,음료 및 차류,커피류
10954,롱블랙,음료 및 차류,커피류
10955,아이스 롱블랙,음료 및 차류,커피류
10956,아이스 숏라떼,음료 및 차류,커피류
10957,카라멜 마키아또 R,음료 및 차류,커피류
10958,카라멜 마키아또 L,음료 및 차류,커피류
10959,카페 아메리카노 R,음료 및 차류,커피류
10960,카페 아메리카노 L,음료 및 차류,커피류
10961,카푸치노 R,음료 및 차류,커피류
10962,카푸치노 L,음료 및 차류,커피류
10963,에스프레소 마키아또 더블,음료 및 차류,커피류
10964,아이스 초콜릿 라떼 R,음료 및 차류,커피류
10965,아이스 초콜릿 라떼 L,음료 및 차류,커피류
10966,아이스 바닐라 라떼 R,음료 및 차류,커피류
10967,아이스 바닐라 라떼 L,음료 및 차류,커피류
10968,에스프레소 마키아또 싱글,음료 및 차류,커피류
10969,카페 모카 R,음료 및 차류,커피류
10970,카페 모카 L,음료 및 차류,커피류
10971,아이스 커피 R,음료 및 차류,커피류
10972,아이스 커피 L,음료 및 차류,커피류
10973,아이스 카페 라떼 R,음료 및 차류,커피류
10974,아이스 카페 라떼 L,음료 및 차류,커피류
10975,에스프레소 콘 파나 더블,음료 및 차류,커피류
10976,콜드브루,음료 및 차류,커피류
10977,아이스 카페 아메리카노 R,음료 및 차류,커피류
10978,아이스 카페 아메리카노 L,음료 및 차류,커피류
10979,카페 라떼 R,음료 및 차류,커피류
10980,카페 라떼 L,음료 및 차류,커피류
10981,콜드브루 라떼,음료 및 차류,커피류
10982,아이스 카페 모카 R,음료 및 차류,커피류
10983,아이스 카페 모카 L,음료 및 차류,커피류
10984,티라미수 라떼,음료 및 차류,커피류
10985,에스프레소 콘 파나 싱글,음료 및 차류,커피류
10986,시그니처 라떼,음료 및 차류,커피류
10987,바닐라 라떼 R,음료 및 차류,커피류
10988,바닐라 라떼 L,음료 및 차류,커피류
10989,숏라떼,음료 및 차류,커피류
10990,아이스 카라멜 마키아또 R,음료 및 차류,커피류
10991,아이스 카라멜 마키아또 L,음료 및 차류,커피류
10992,에스프레소 싱글,음료 및 차류,커피류
10993,에스프레소 더블,음료 및 차류,커피류
10994,오늘의 커피 R,음료 및 차류,커피류
10995,오늘의 커피 L,음료 및 차류,커피류
10996,에스프레소,음료 및 차류,커피류
10997,에스프레소 도피오,음료 및 차류,커피류
10998,에스프레소 마끼아또,음료 및 차류,커피류
10999,오르조,음료 및 차류,커피류
11000,로마노S,음료 및 차류,커피류
11001,로마노R,음료 및 차류,커피류
11002,비체린,음료 및 차류,커피류
11003,아포가또,음료 및 차류,커피류
11004,모카포트 아포가또,음료 및 차류,커피류
11005,샤케라또,음료 및 차류,커피류
11006,아이스 오리지널드립커피R,음료 및 차류,커피류
11007,아이스 오리지널드립커피L,음료 및 차류,커피류
11008,아이스 아메리카노R,음료 및 차류,커피류
11009,아이스 아메리카노L,음료 및 차류,커피류
11010,아이스 카페라떼R,음료 및 차류,커피류
11011,아이스 카페라떼L,음료 및 차류,커피류
11012,아이스 카라멜라떼 마끼아또R,음료 및 차류,커피류
11013,아이스 카라멜라떼 마끼아또L,음료 및 차류,커피류
11014,아이스 바닐라라떼 마끼아또R,음료 및 차류,커피류
11015,아이스 바닐라라떼 마끼아또L,음료 및 차류,커피류
11016,아이스 화이트초콜릿라떼 마끼아또R,음료 및 차류,커피류
11017,아이스 화이트초콜릿라떼 마끼아또L,음료 및 차류,커피류
11018,아이스 카페모카R,음료 및 차류,커피류
11019,아이스 카페모카L,음료 및 차류,커피류
11020,콜드브루 라떼,음료 및 차류,커피류
11021,콜드브루 아메리카노,음료 및 차류,커피류
11022,니트로 콜드브루,음료 및 차류,커피류
11023,오리지널 드립커피R,음료 및 차류,커피류
11024,오리지널 드립커피L,음료 및 차류,커피류
11025,아메리카노R,음료 및 차류,커피류
11026,아메리카노L,음료 및 차류,커피류
11027,카페라떼R,음료 및 차류,커피류
11028,카페라떼L,음료 및 차류,커피류
11029,카푸치노,음료 및 차류,커피류
11030,헤이즐넛 카푸치노,음료 및 차류,커피류
11031,카라멜 라떼 마끼아또R,음료 및 차류,커피류
11032,카라멜 라떼 마끼아또L,음료 및 차류,커피류
11033,바닐라 라떼 마끼아또R,음료 및 차류,커피류
11034,바닐라 라떼 마끼아또L,음료 및 차류,커피류
11035,화이트초콜릿 라떼마끼아또R,음료 및 차류,커피류
11036,화이트초콜릿 라떼마끼아또L,음료 및 차류,커피류
11037,카페모카R,음료 및 차류,커피류
11038,카페모카L,음료 및 차류,커피류
11039,토로네 라떼(HOT),음료 및 차류,커피류
11040,토로네 라떼(ICED),음료 및 차류,커피류
11041,흑당 펄 콜드브루 라떼,음료 및 차류,커피류
11042,흑당 펄 라떼R,음료 및 차류,커피류
11043,코코넛 콜드브루 라떼,음료 및 차류,커피류
11044,연유 콜드브루 플로트,음료 및 차류,커피류
11045,콜드브루 밀크티,음료 및 차류,커피류
11046,아이스 아메리카노 L,음료 및 차류,커피류
11047,핫아메리카노(S),음료 및 차류,커피류
11048,아메리카노(T),음료 및 차류,커피류
11049,아이스 아메리카노,음료 및 차류,커피류
11050,카페라떼,음료 및 차류,커피류
11051,아이스 카페라떼,음료 및 차류,커피류
11052,흑임자 크림 더블샷 ICE,음료 및 차류,커피류
11053,커스터드 플랫라떼,음료 및 차류,커피류
11054,커스터드 크림샷 ICE,음료 및 차류,커피류
11055,헤이 블랙 카푸치노 ICE,음료 및 차류,커피류
11056,헤이 더블샷 ICE,음료 및 차류,커피류
11057,헤이즐넛 라떼 ICE,음료 및 차류,커피류
11058,헤이즐넛 라떼,음료 및 차류,커피류
11059,아몬드 크림 콜드브루 ICE,음료 및 차류,커피류
11060,콜드브루 ICE,음료 및 차류,커피류
11061,콜드브루 온더락 ICE,음료 및 차류,커피류
11062,아몬드 비엔나 커피,음료 및 차류,커피류
11063,돌체 라떼 ICE,음료 및 차류,커피류
11064,돌체 라떼,음료 및 차류,커피류
11065,아포카토 ICE,음료 및 차류,커피류
11066,에스프레소,음료 및 차류,커피류
11067,카페 아메리카노,음료 및 차류,커피류
11068,카페 아메리카노 ICE,음료 및 차류,커피류
11069,카페라떼,음료 및 차류,커피류
11070,카페라떼 ICE,음료 및 차류,커피류
11071,바닐라 라떼,음료 및 차류,커피류
11072,바닐라 라떼 ICE,음료 및 차류,커피류
11073,카라멜 라떼,음료 및 차류,커피류
11074,카라멜 라떼 ICE,음료 및 차류,커피류
11075,카푸치노,음료 및 차류,커피류
11076,카푸치노 ICE,음료 및 차류,커피류
11077,카페모카,음료 및 차류,커피류
11078,카페모카 ICE,음료 및 차류,커피류
11079,카라멜 마끼아또,음료 및 차류,커피류
11080,카라멜 마끼아또 ICE,음료 및 차류,커피류
11081,흑임자 라떼,음료 및 차류,커피류
11082,토피넛라떼 ICE,음료 및 차류,커피류
11083,토피넛라떼,음료 및 차류,커피류
11084,카페라떼 버블샷 ICE,음료 및 차류,커피류
11085,그린티 버블샷 ICE,음료 및 차류,커피류
11086,밀크티 버블샷 ICE,음료 및 차류,커피류
11087,코코넛 아이스샷,음료 및 차류,커피류
11088,카라멜 아이스샷,음료 및 차류,커피류
11089,그린티 아이스샷,음료 및 차류,커피류
11090,쿨 자몽 얼그레이,음료 및 차류,커피류
11091,꿀 자몽 라떼,음료 및 차류,커피류
11092,꿀 망고 라떼,음료 및 차류,커피류
11093,꿀 딸기 라떼,음료 및 차류,커피류
11094,딸기 듬뿍 파르페,음료 및 차류,커피류
11095,바닐라빈 라떼,음료 및 차류,커피류
11096,아메리카노,음료 및 차류,커피류
11097,아이스 바닐라빈 라떼,음료 및 차류,커피류
11098,아이스 아메리카노,음료 및 차류,커피류
11099,아이스 아메리카노(L),음료 및 차류,커피류
11100,아이스 연유 라떼,음료 및 차류,커피류
11101,아이스 카라멜 마끼아또,음료 및 차류,커피류
11102,아이스 카페 라떼,음료 및 차류,커피류
11103,아이스 카페 모카,음료 및 차류,커피류
11104,연유 라떼,음료 및 차류,커피류
11105,연유 크러쉬 라떼,음료 및 차류,커피류
11106,카라멜 마끼아또,음료 및 차류,커피류
11107,카라멜 크러쉬 라떼,음료 및 차류,커피류
11108,카페 라떼,음료 및 차류,커피류
11109,카페 모카,음료 및 차류,커피류
11110,아메리카노 (ice)L,음료 및 차류,커피류
11111,아메리카노 (hot)L,음료 및 차류,커피류
11112,얼그레이 아메리카노 (ice)L,음료 및 차류,커피류
11113,얼그레이 아메리카노 (hot)L,음료 및 차류,커피류
11114,카페라떼 (ice)L,음료 및 차류,커피류
11115,카페라떼 (hot)L,음료 및 차류,커피류
11116,딥모카 카페라떼 (ice)L,음료 및 차류,커피류
11117,딥모카 카페라떼 (hot)L,음료 및 차류,커피류
11118,딥바닐라 카페라떼 (ice)L,음료 및 차류,커피류
11119,딥바닐라 카페라떼 (hot)L,음료 및 차류,커피류
11120,더블 그린 카페라떼 (ice)L,음료 및 차류,커피류
11121,더블 그린 카페라떼 (hot)L,음료 및 차류,커피류
11122,나이트로 바닐라 크림,음료 및 차류,커피류
11123,나이트로 쇼콜라 클라우드,음료 및 차류,커피류
11124,나이트로 콜드 브루,음료 및 차류,커피류
11125,돌체 콜드 브루,음료 및 차류,커피류
11126,바닐라 크림 콜드 브루,음료 및 차류,커피류
11127,콜드 브루,음료 및 차류,커피류
11128,콜드 브루 몰트,음료 및 차류,커피류
11129,콜드 브루 플로트,음료 및 차류,커피류
11130,콜드 폼 콜드 브루,음료 및 차류,커피류
11131,아이스 커피,음료 및 차류,커피류
11132,오늘의 커피,음료 및 차류,커피류
11133,단호박 라떼 위드 샷,음료 및 차류,커피류
11134,블랙 글레이즈드 라떼,음료 및 차류,커피류
11135,아이스 단호박 라떼 위드 샷,음료 및 차류,커피류
11136,아이스 블랙 글레이즈드 라떼,음료 및 차류,커피류
11137,에스프레소 콘 파나,음료 및 차류,커피류
11138,에스프레소 마키아또,음료 및 차류,커피류
11139,아이스 카페 아메리카노,음료 및 차류,커피류
11140,카페 아메리카노,음료 및 차류,커피류
11141,아이스 카라멜 마키아또,음료 및 차류,커피류
11142,카라멜 마키아또,음료 및 차류,커피류
11143,아이스 카푸치노,음료 및 차류,커피류
11144,카푸치노,음료 및 차류,커피류
11145,라벤더 카페 브레베,음료 및 차류,커피류
11146,럼 샷 코르타도,음료 및 차류,커피류
11147,스타벅스 돌체 라떼,음료 및 차류,커피류
11148,아이스 라벤더 카페 브레베,음료 및 차류,커피류
11149,아이스 스타벅스 돌체 라떼,음료 및 차류,커피류
11150,아이스 카페 라떼,음료 및 차류,커피류
11151,카페 라떼,음료 및 차류,커피류
11152,아이스 카페 모카,음료 및 차류,커피류
11153,아이스 화이트 초콜릿 모카,음료 및 차류,커피류
11154,카페 모카,음료 및 차류,커피류
11155,화이트 초콜릿 모카,음료 및 차류,커피류
11156,리스트레토 비안코,음료 및 차류,커피류
11157,바닐라 스타벅스 더블 샷,음료 및 차류,커피류
11158,블론드 리스트레토 마키아또,음료 및 차류,커피류
11159,블론드 에스프레소 토닉,음료 및 차류,커피류
11160,아이스 블론드 리스트레토 마키아또,음료 및 차류,커피류
11161,에스프레소,음료 및 차류,커피류
11162,카라멜 스타벅스 더블 샷,음료 및 차류,커피류
11163,커피 스타벅스 더블 샷,음료 및 차류,커피류
11164,클래식 아포가토,음료 및 차류,커피류
11165,헤이즐넛 스타벅스 더블 샷,음료 및 차류,커피류
11166,넛츠 바닐라 아포가토,음료 및 차류,커피류
11167,넛츠 초콜릿 아포가토,음료 및 차류,커피류
11168,바닐라 아포가토,음료 및 차류,커피류
11169,자바 칩 바닐라 아포가토,음료 및 차류,커피류
11170,자바 칩 초콜릿 아포가토,음료 및 차류,커피류
11171,초콜릿 아포가토,음료 및 차류,커피류
11172,카푸치노,음료 및 차류,커피류
11173,카페라떼,음료 및 차류,커피류
11174,아이스카페라떼,음료 및 차류,커피류
11175,바닐라라떼,음료 및 차류,커피류
11176,아이스바닐라라떼,음료 및 차류,커피류
11177,카라멜라떼,음료 및 차류,커피류
11178,아이스카라멜라떼,음료 및 차류,커피류
11179,카페모카,음료 및 차류,커피류
11180,아이스카페모카,음료 및 차류,커피류
11181,아메리카노,음료 및 차류,커피류
11182,카페라떼,음료 및 차류,커피류
11183,카푸치노,음료 및 차류,커피류
11184,카라멜마끼아또,음료 및 차류,커피류
11185,바닐라 라떼,음료 및 차류,커피류
11186,카페모카,음료 및 차류,커피류
11187,헤이즐넛 아메리카노,음료 및 차류,커피류
11188,헤이즐넛 라떼,음료 및 차류,커피류
11189,더치 아메리카노,음료 및 차류,커피류
11190,더치 라떼,음료 및 차류,커피류
11191,연유 카페라떼 HOT,음료 및 차류,커피류
11192,연유 카페라떼 ICED,음료 및 차류,커피류
11193,연유 콜드브루,음료 및 차류,커피류
11194,흑당 콜드브루,음료 및 차류,커피류
11195,(EX)흑당 콜드브루,음료 및 차류,커피류
11196,버블 흑당 콜드브루,음료 및 차류,커피류
11197,(EX)버블 흑당 콜드브루,음료 및 차류,커피류
11198,콜드브루 아메리카노,음료 및 차류,커피류
11199,아포가토 오리지널,음료 및 차류,커피류
11200,아포가토 콜드브루 바닐라 모카,음료 및 차류,커피류
11201,콜드브루 라떼,음료 및 차류,커피류
11202,콜드브루 화이트 비엔나,음료 및 차류,커피류
11203,니트로커피,음료 및 차류,커피류
11204,HOT 에스프레소,음료 및 차류,커피류
11205,HOT 에스프레소 마끼아또,음료 및 차류,커피류
11206,HOT 에스프레소 콘파냐,음료 및 차류,커피류
11207,ICED 카페 아메리카노,음료 및 차류,커피류
11208,HOT 카페 아메리카노,음료 및 차류,커피류
11209,(EX)ICED 카페 아메리카노,음료 및 차류,커피류
11210,(EX)HOT 카페 아메리카노,음료 및 차류,커피류
11211,ICED 카페 라떼,음료 및 차류,커피류
11212,(EX)ICED 카페 라떼,음료 및 차류,커피류
11213,HOT 카페 라떼,음료 및 차류,커피류
11214,(EX)HOT 카페 라떼,음료 및 차류,커피류
11215,ICED 카푸치노,음료 및 차류,커피류
11216,HOT 카푸치노,음료 및 차류,커피류
11217,ICED 카페 모카,음료 및 차류,커피류
11218,HOT 카페 모카,음료 및 차류,커피류
11219,(EX)ICED 카페 모카,음료 및 차류,커피류
11220,(EX)HOT 카페 모카,음료 및 차류,커피류
11221,ICED 카라멜 마끼아또,음료 및 차류,커피류
11222,HOT 카라멜 마끼아또,음료 및 차류,커피류
11223,(EX)ICED 카라멜 마끼아또,음료 및 차류,커피류
11224,(EX)HOT 카라멜 마끼아또,음료 및 차류,커피류
11225,ICED 바닐라 라떼,음료 및 차류,커피류
11226,HOT 바닐라 라떼,음료 및 차류,커피류
11227,(EX)ICED 바닐라 라떼,음료 및 차류,커피류
11228,(EX)HOT 바닐라 라떼,음료 및 차류,커피류
11229,ICED 화이트 초콜릿 모카,음료 및 차류,커피류
11230,HOT 화이트 초콜릿 모카,음료 및 차류,커피류
11231,ICED 민트모카,음료 및 차류,커피류
11232,HOT 민트 모카,음료 및 차류,커피류
11233,더블에스프레소,음료 및 차류,커피류
11234,앗!메리카노(HOT),음료 및 차류,커피류
11235,앗!메리카노(ICED),음료 및 차류,커피류
11236,원조커피(HOT),음료 및 차류,커피류
11237,원조커피(ICED),음료 및 차류,커피류
11238,달달연유라떼(HOT),음료 및 차류,커피류
11239,달달연유라떼(ICED),음료 및 차류,커피류
11240,빽’s 라떼(HOT),음료 및 차류,커피류
11241,빽’s 라떼(ICED),음료 및 차류,커피류
11242,블랙펄카페라떼,음료 및 차류,커피류
11243,바닐라라떼(HOT),음료 및 차류,커피류
11244,바닐라라떼(ICED),음료 및 차류,커피류
11245,카페모카(HOT),음료 및 차류,커피류
11246,카페모카(ICED),음료 및 차류,커피류
11247,카라멜마키아또(HOT),음료 및 차류,커피류
11248,카라멜마키아또(ICED),음료 및 차류,커피류
11249,크리미모카라떼(HOT),음료 및 차류,커피류
11250,크리미모카라떼(ICED),음료 및 차류,커피류
11251,아이스 캐러멜 마키아토,음료 및 차류,커피류
11252,아이스 바닐라라떼,음료 및 차류,커피류
11253,아이스 모카라떼,음료 및 차류,커피류
11254,아이스 카페라떼,음료 및 차류,커피류
11255,아이스 커피,음료 및 차류,커피류
11256,헤이즐넛 아이스커피,음료 및 차류,커피류
11257,카페수아,음료 및 차류,커피류
11258,아이스 더블카페 라떼,음료 및 차류,커피류
11259,아이스 에스프레소,음료 및 차류,커피류
11260,콜드브루 라떼,음료 및 차류,커피류
11261,콜드브루,음료 및 차류,커피류
11262,더블카페 라떼,음료 및 차류,커피류
11263,헤이즐넛 아메리카노,음료 및 차류,커피류
11264,캐러멜 마키아토,음료 및 차류,커피류
11265,바닐라 라떼,음료 및 차류,커피류
11266,모카 라떼,음료 및 차류,커피류
11267,카페 라떼,음료 및 차류,커피류
11268,카푸치노,음료 및 차류,커피류
11269,아메리카노,음료 및 차류,커피류
11270,커피빈커피,음료 및 차류,커피류
11271,헤이즐넛 라떼,음료 및 차류,커피류
11272,플랫화이트,음료 및 차류,커피류
11273,커피빈 드립커피,음료 및 차류,커피류
11274,콜드 브루,음료 및 차류,커피류
11275,콜드 브루 라떼,음료 및 차류,커피류
11276,헤이즐넛향 아메리카노,음료 및 차류,커피류
11277,커피빈 아메리카노,음료 및 차류,커피류
11278,아메리치노 흑당라떼 ICE,음료 및 차류,커피류
11279,아메리치노 흑당 ICE,음료 및 차류,커피류
11280,오트밀 라떼 HOT,음료 및 차류,커피류
11281,아메리치노 라떼 ICE,음료 및 차류,커피류
11282,콜드브루 To-Go ICE,음료 및 차류,커피류
11283,아메리치노 (Original) ICE,음료 및 차류,커피류
11284,콜브브루 더치커피 ICE,음료 및 차류,커피류
11285,아메리카노 HOT,음료 및 차류,커피류
11286,카푸치노 HOT,음료 및 차류,커피류
11287,카페라떼 HOT,음료 및 차류,커피류
11288,바닐라 카페라떼 HOT,음료 및 차류,커피류
11289,카라멜마끼아또 HOT,음료 및 차류,커피류
11290,카페모카 HOT,음료 및 차류,커피류
11291,콜드브루 위드밀크,음료 및 차류,커피류
11292,콜드브루 플레인,음료 및 차류,커피류
11293,에스프레소,음료 및 차류,커피류
11294,스페셜티 아메리카노,음료 및 차류,커피류
11295,스페셜티 카페라떼,음료 및 차류,커피류
11296,스페셜티 카푸치노,음료 및 차류,커피류
11297,스페셜티 바닐라라떼,음료 및 차류,커피류
11298,스페셜티 카라멜마끼아또,음료 및 차류,커피류
11299,스페셜티 카페모카,음료 및 차류,커피류
11300,아포카토,음료 및 차류,커피류
11301,스페셜티 화이트모카,음료 및 차류,커피류
11302,프리미엄 블렌드 딥라떼 HOT,음료 및 차류,커피류
11303,프리미엄 블렌드 딥라떼 ICED,음료 및 차류,커피류
11304,인절미 크림라떼 HOT,음료 및 차류,커피류
11305,인절미 크림라떼 ICED,음료 및 차류,커피류
11306,리스트레또 딜라이트 HOT,음료 및 차류,커피류
11307,리스트레또 딜라이트 ICED,음료 및 차류,커피류
11308,티라미스 크림라떼 ICED,음료 및 차류,커피류
11309,스위트 크림라떼 ICED,음료 및 차류,커피류
11310,콜드브루 라떼 ICED,음료 및 차류,커피류
11311,콜드브루,음료 및 차류,커피류
11312,아포가토,음료 및 차류,커피류
11313,리얼 벨지안 카페모카,음료 및 차류,커피류
11314,바닐라딜라이트 HOT,음료 및 차류,커피류
11315,바닐라딜라이트 ICED,음료 및 차류,커피류
11316,카라멜 마키아또 HOT,음료 및 차류,커피류
11317,카라멜 마키아또 ICED,음료 및 차류,커피류
11318,카페모카 HOT,음료 및 차류,커피류
11319,카페모카 ICED,음료 및 차류,커피류
11320,카푸치노 HOT,음료 및 차류,커피류
